Day,Post date,Image file,Word,Pronunciation,Meaning,Caption,Hashtags
11,Aug 11,aug11_anansesɛm.png,Anansesɛm,/ ah-nan-seh-SEM /,Folktale,"Anansesɛm / ah-nan-seh-SEM / — Folktale.

Tales of Ananse the spider. Each one hides a lesson.

📲 Learn Twi the joyful way — Sankofa Twi. Link in bio.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage #Ananse #Folktale #Storytelling
12,Aug 12,aug12_gye_nyame.png,Gye Nyame,/ jeh N-YAH-meh /,Except God,"Gye Nyame / jeh N-YAH-meh / — Except God.

The most famous Adinkra — 'Except God'. Faith over fear.

🇬🇭 Reconnect with home, one word a day. Download Sankofa Twi.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage #GyeNyame #AdinkraSymbols #Faith
13,Aug 13,aug13_onyankopɔn.png,Onyankopɔn,/ oh-nyan-KOH-pawn /,The Supreme God,"Onyankopɔn / oh-nyan-KOH-pawn / — The Supreme God.

The source of all. Nyame, Onyankopɔn — the Most High.

Save this and practice today. Which word next? 👇",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage #Faith #Spirituality
14,Aug 14,aug14_kra.png,Kra,/ krah /,Soul,"Kra / krah / — Soul.

Your essence. Your day name is your 'kra din' — soul name.

Tag someone learning Twi with you. 🌿",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage #DayName #Akan
15,Aug 15,aug15_amammerɛ.png,Amammerɛ,/ ah-mam-meh-REH /,Tradition,"Amammerɛ / ah-mam-meh-REH / — Tradition.

The customs that carry a people. Sankɔfa keeps amammerɛ alive.

Follow @sankofatwi for a new word every day.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage #Tradition #AfricanCulture
16,Aug 16,aug16_kente.png,Kente,/ KEN-teh /,Kente cloth,"Kente / KEN-teh / — Kente cloth.

Woven by hand, worn with pride. Every colour tells a story.

📲 Learn Twi the joyful way — Sankofa Twi. Link in bio.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage #Kente #AfricanFashion
17,Aug 17,aug17_adowa.png,Adowa,/ ah-DOH-wah /,Adowa dance,"Adowa / ah-DOH-wah / — Adowa dance.

The graceful royal dance. Move like the antelope.

🇬🇭 Reconnect with home, one word a day. Download Sankofa Twi.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage #Adowa #AfricanDance #GhanaMusic
18,Aug 18,aug18_dwom.png,Dwom,/ jwom /,Song,"Dwom / jwom / — Song.

'dw' is a rounded 'j'. Every gathering needs a dwom.

Save this and practice today. Which word next? 👇",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage #GhanaMusic #Highlife
19,Aug 19,aug19_saw.png,Saw,/ saw /,To dance,"Saw / saw / — To dance.

When the drum calls, you saw. Let your body answer.

Tag someone learning Twi with you. 🌿",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage #AfricanDance #Azonto
20,Aug 20,aug20_didi.png,Didi,/ DEE-dee /,To eat,"Didi / DEE-dee / — To eat.

Time to chop. 'Ɛkɔm de me' — I'm hungry — then didi.

Follow @sankofatwi for a new word every day.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage #GhanaFood #Jollof
21,Aug 21,aug21_dɛ.png,Dɛ,/ deh /,Delicious,"Dɛ / deh / — Delicious.

One syllable of joy. That jollof? Ɛyɛ dɛ!

📲 Learn Twi the joyful way — Sankofa Twi. Link in bio.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage #GhanaFood #Jollof
22,Aug 22,aug22_awia.png,Awia,/ ah-WEE-ah /,Sunshine,"Awia / ah-WEE-ah / — Sunshine.

Accra sun is no joke. Awia's out — bring your hat.

🇬🇭 Reconnect with home, one word a day. Download Sankofa Twi.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
23,Aug 23,aug23_osu_tɔ.png,Osu tɔ,/ oh-SOO taw /,It's raining,"Osu tɔ / oh-SOO taw / — It's raining.

West African rain moves fast. 'Osu tɔ' — grab cover!

Save this and practice today. Which word next? 👇",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
24,Aug 24,aug24_anɔpa.png,Anɔpa,/ ah-NAW-pah /,Morning,"Anɔpa / ah-NAW-pah / — Morning.

A fresh start. Greet the anɔpa with 'Maakye'.

Tag someone learning Twi with you. 🌿",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
25,Aug 25,aug25_ɛnnɛ.png,Ɛnnɛ,/ en-NEH /,Today,"Ɛnnɛ / en-NEH / — Today.

The only day you can practice. Ɛnnɛ — start now.

Follow @sankofatwi for a new word every day.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
26,Aug 26,aug26_adwuma.png,Adwuma,/ ah-JOO-mah /,Work,"Adwuma / ah-JOO-mah / — Work.

'dw' is a rounded 'j'. Honest adwuma is honoured here.

📲 Learn Twi the joyful way — Sankofa Twi. Link in bio.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
27,Aug 27,aug27_fie.png,Fie,/ FEE-eh /,Home,"Fie / FEE-eh / — Home.

Two syllables: fee-eh. Sankɔfa is the road back to fie.

🇬🇭 Reconnect with home, one word a day. Download Sankofa Twi.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
28,Aug 28,aug28_akyɛdeɛ.png,Akyɛdeɛ,/ ah-cheh-DEH-eh /,Gift,"Akyɛdeɛ / ah-cheh-DEH-eh / — Gift.

'ky' = 'ch'. A gift given straight from the heart.

Save this and practice today. Which word next? 👇",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
29,Aug 29,aug29_awoda_pa.png,Awoda pa!,/ ah-WOH-dah PAH /,Happy birthday,"Awoda pa! / ah-WOH-dah PAH / — Happy birthday.

Someone's day? Say 'Awoda pa!' like you mean it.

Tag someone learning Twi with you. 🌿",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
30,Aug 30,aug30_afehyia_pa.png,Afehyia pa!,/ ah-feh-SHEE-ah PAH /,Happy New Year,"Afehyia pa! / ah-feh-SHEE-ah PAH / — Happy New Year.

Heard at every crossover night. 'hy' sounds like 'sh'.

Follow @sankofatwi for a new word every day.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
31,Aug 31,aug31_ayɛkoo.png,Ayɛkoo!,/ ah-yeh-KOOH /,Well done,"Ayɛkoo! / ah-yeh-KOOH / — Well done.

The word we shout for good work. Someone cooked? Ayɛkoo!

📲 Learn Twi the joyful way — Sankofa Twi. Link in bio.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
