unit_id,unit_title,type,twi,english,pron_hint,VERIFIED (Y/N),corrected_twi,corrected_english,notes
unit_035,Clothing,glossary,tuntum,black,tuntum,,,,
unit_036,Sports,headword,bɔɔlo,"sport — the ball, the race, the win.",bawawlo,,,,
unit_036,Sports,example,"bɔɔlo, mmirika, akansie.",,"bawawlo, mmirika, akansie.",,,,
unit_036,Sports,glossary,bɔɔlo,football / ball,bawawlo,,,,
unit_036,Sports,glossary,mmirika,running / race,mmirika,,,,
unit_036,Sports,glossary,akansie,competition / match,akansie,,,,
unit_036,Sports,glossary,di nkonim,to win,di nkonim,,,,
unit_036,Sports,glossary,tu mmirika,to run,tu mmirika,,,,
unit_036,Sports,glossary,bɔ bɔɔlo,to play football,baw bawawlo,,,,
unit_036,Sports,glossary,ekuo,team / group,ekuo,,,,
unit_036,Sports,glossary,agodibea,playing field,agodibea,,,,
unit_036,Sports,glossary,anigyeɛ,fun / enjoyment,anijeeh,,,,
unit_036,Sports,glossary,agorɔ,play,agoraw,,,,
unit_037,Games,headword,agorɔ,"games — play, win, and enjoy with friends.",agoraw,,,,
unit_037,Games,example,"agorɔ, oware, di agorɔ.",,"agoraw, oware, di agoraw.",,,,
unit_037,Games,glossary,agorɔ,game / play,agoraw,,,,
unit_037,Games,glossary,oware,oware (board game),oware,,,,
unit_037,Games,glossary,di agorɔ,to play,di agoraw,,,,
unit_037,Games,glossary,nkonimdie,winning / victory,nkonimdie,,,,
unit_037,Games,glossary,nkogudie,losing / defeat,nkogudie,,,,
unit_037,Games,glossary,ludo,ludo,ludo,,,,
unit_037,Games,glossary,ahosɛpɛ,enjoyment,ahosehpeh,,,,
unit_037,Games,glossary,nnamfoɔ,friends,nnamfoaw,,,,
unit_037,Games,glossary,akansie,contest,akansie,,,,
unit_037,Games,glossary,anigyeɛ,fun,anijeeh,,,,
unit_038,Directions,headword,ɔkwan,"directions — left, right, and finding the way.",awkwan,,,,
unit_038,Directions,example,"benkum, nifa, kɔ animu.",,"benkum, nifa, kaw animu.",,,,
unit_038,Directions,glossary,benkum,left,benkum,,,,
unit_038,Directions,glossary,nifa,right,nifa,,,,
unit_038,Directions,glossary,kɔ animu,go straight / forward,kaw animu,,,,
unit_038,Directions,glossary,dane,to turn,dane,,,,
unit_038,Directions,glossary,akyi,behind,achi,,,,
unit_038,Directions,glossary,animu,front,animu,,,,
unit_038,Directions,glossary,soro,up / top,soro,,,,
unit_038,Directions,glossary,ase,down / under,ase,,,,
unit_038,Directions,glossary,ɔkwan,road / path,awkwan,,,,
unit_038,Directions,glossary,ɛwɔ he,where is it?,ehwaw he,,,,
unit_039,Transport (Trotro),headword,trɔtrɔ,"getting around — the trotro, the road, and the fare.",trawtraw,,,,
unit_039,Transport (Trotro),example,"trɔtrɔ, kaa, ɔkwan.",,"trawtraw, kaa, awkwan.",,,,
unit_039,Transport (Trotro),glossary,trɔtrɔ,trotro (minibus),trawtraw,,,,
unit_039,Transport (Trotro),glossary,kaa,car,kaa,,,,
unit_039,Transport (Trotro),glossary,ɔkwan,road,awkwan,,,,
unit_039,Transport (Trotro),glossary,kɔ,to go,kaw,,,,
unit_039,Transport (Trotro),glossary,ba,to come,ba,,,,
unit_039,Transport (Trotro),glossary,gyina,to stop,jina,,,,
unit_039,Transport (Trotro),glossary,si,to get down / alight,si,,,,
unit_039,Transport (Trotro),glossary,ntɛm,quickly / fast,ntehm,,,,
unit_039,Transport (Trotro),glossary,akwantuo,journey / travel,akwantuo,,,,
unit_039,Transport (Trotro),glossary,sika,fare / money,sika,,,,
unit_040,Weather,headword,ewiem,"weather — sun, rain, and wind.",ewiem,,,,
unit_040,Weather,example,"ewiem, osuo, awia.",,"ewiem, osuo, awia.",,,,
unit_040,Weather,glossary,ewiem,weather / sky,ewiem,,,,
unit_040,Weather,glossary,osuo,rain,osuo,,,,
unit_040,Weather,glossary,awia,sunshine,awia,,,,
unit_040,Weather,glossary,mframa,wind,mframa,,,,
unit_040,Weather,glossary,awɔ,cold,awaw,,,,
unit_040,Weather,glossary,ahuhuro,heat,ahuhuro,,,,
unit_040,Weather,glossary,mununkum,cloud,mununkum,,,,
unit_040,Weather,glossary,anyinam,lightning,anyinam,,,,
unit_040,Weather,glossary,aprannaa,thunder,aprannaa,,,,
unit_040,Weather,glossary,osu tɔ,it is raining,osu taw,,,,
unit_041,Daily Routine & Time,headword,da,daily routine — from waking to sleeping.,da,,,,
unit_041,Daily Routine & Time,example,"anɔpa, awia, anwummerɛ.",,"anawpa, awia, anwummereh.",,,,
unit_041,Daily Routine & Time,glossary,anɔpa,morning,anawpa,,,,
unit_041,Daily Routine & Time,glossary,awia,afternoon / daytime,awia,,,,
unit_041,Daily Routine & Time,glossary,anwummerɛ,evening,anwummereh,,,,
unit_041,Daily Routine & Time,glossary,anadwo,night,anajwo,,,,
unit_041,Daily Routine & Time,glossary,sɔre,to get up,sawre,,,,
unit_041,Daily Routine & Time,glossary,da,to sleep,da,,,,
unit_041,Daily Routine & Time,glossary,adidi,to eat (a meal),adidi,,,,
unit_041,Daily Routine & Time,glossary,adwuma,work,ajwuma,,,,
unit_041,Daily Routine & Time,glossary,berɛ,time,bereh,,,,
unit_041,Daily Routine & Time,glossary,ɛnnɛ,today,ehnneh,,,,
unit_042,Extended Family,headword,abusua,"the wider family — grandparents, uncles, aunts, and clan.",abusua,,,,
unit_042,Extended Family,example,"abusua, nana, nana barima.",,"abusua, nana, nana barima.",,,,
unit_042,Extended Family,glossary,abusua,family / clan,abusua,,,,
unit_042,Extended Family,glossary,nana,grandparent,nana,,,,
unit_042,Extended Family,glossary,nana barima,grandfather,nana barima,,,,
unit_042,Extended Family,glossary,nana baa,grandmother,nana baa,,,,
unit_042,Extended Family,glossary,wɔfa,maternal uncle,wawfa,,,,
unit_042,Extended Family,glossary,sewaa,aunt,sewaa,,,,
unit_042,Extended Family,glossary,wɔfaase,nephew / niece,wawfaase,,,,
unit_042,Extended Family,glossary,nua,sibling,nua,,,,
unit_042,Extended Family,glossary,mma,children,mma,,,,
unit_042,Extended Family,glossary,ba,child,ba,,,,
unit_043,Describing People,headword,onipa,describing people — looks and simple traits.,onipa,,,,
unit_043,Describing People,example,"onipa, barima, ɔbaa.",,"onipa, barima, awbaa.",,,,
unit_043,Describing People,glossary,onipa,person,onipa,,,,
unit_043,Describing People,glossary,barima,man,barima,,,,
unit_043,Describing People,glossary,ɔbaa,woman,awbaa,,,,
unit_043,Describing People,glossary,abɔfra,child,abawfra,,,,
unit_043,Describing People,glossary,tenten,tall,tenten,,,,
unit_043,Describing People,glossary,tiaa,short,tiaa,,,,
unit_043,Describing People,glossary,kɛseɛ,big,kehseeh,,,,
unit_043,Describing People,glossary,ketewa,small,ketewa,,,,
unit_043,Describing People,glossary,fɛfɛ,beautiful,fehfeh,,,,
unit_043,Describing People,glossary,papa,good / kind,papa,,,,
unit_044,Emotions & Feelings,headword,anigyeɛ,"feelings — joy, sadness, and the body’s needs.",anijeeh,,,,
unit_044,Emotions & Feelings,example,"anigyeɛ, awerɛhoɔ, abufuo.",,"anijeeh, awerehhoaw, abufuo.",,,,
unit_044,Emotions & Feelings,glossary,anigyeɛ,joy / happiness,anijeeh,,,,
unit_044,Emotions & Feelings,glossary,awerɛhoɔ,sadness,awerehhoaw,,,,
unit_044,Emotions & Feelings,glossary,abufuo,anger,abufuo,,,,
unit_044,Emotions & Feelings,glossary,suro,fear,suro,,,,
unit_044,Emotions & Feelings,glossary,dɔ,love,daw,,,,
unit_044,Emotions & Feelings,glossary,ahotɔ,peace / calm,ahotaw,,,,
unit_044,Emotions & Feelings,glossary,ɛkɔm,hunger,ehkawm,,,,
unit_044,Emotions & Feelings,glossary,sukɔm,thirst,sukawm,,,,
unit_044,Emotions & Feelings,glossary,brɛ,tiredness,breh,,,,
unit_044,Emotions & Feelings,glossary,yareɛ,sickness,yareeh,,,,
unit_045,Friendship,headword,adamfoɔ,"friendship — sharing, helping, and trust.",adamfoaw,,,,
unit_045,Friendship,example,"adamfoɔ, nnamfoɔ, boa.",,"adamfoaw, nnamfoaw, boa.",,,,
unit_045,Friendship,glossary,adamfoɔ,friend,adamfoaw,,,,
unit_045,Friendship,glossary,nnamfoɔ,friends,nnamfoaw,,,,
unit_045,Friendship,glossary,boa,to help,boa,,,,
unit_045,Friendship,glossary,kyɛ,to share,cheh,,,,
unit_045,Friendship,audio_override,Me kyɛ.,(spoken for 'kyɛ'),Me cheh.,,,,
unit_045,Friendship,glossary,tie,to listen,tie,,,,
unit_045,Friendship,glossary,dɔ,love,daw,,,,
unit_045,Friendship,glossary,hyia,to meet,shia,,,,
unit_045,Friendship,glossary,nokorɛ,truth,nokoreh,,,,
unit_045,Friendship,glossary,gye di,to trust / believe,je di,,,,
unit_045,Friendship,glossary,ka,to say / tell,ka,,,,
unit_046,Respect & Elders,headword,ɔpanyin,"respect — elders, honour, and manners.",awpanyin,,,,
unit_046,Respect & Elders,example,"ɔpanyin, mpanyimfoɔ, obuo.",,"awpanyin, mpanyimfoaw, obuo.",,,,
unit_046,Respect & Elders,glossary,ɔpanyin,elder,awpanyin,,,,
unit_046,Respect & Elders,glossary,mpanyimfoɔ,elders,mpanyimfoaw,,,,
unit_046,Respect & Elders,glossary,obuo,respect,obuo,,,,
unit_046,Respect & Elders,glossary,di ni,to honour,di ni,,,,
unit_046,Respect & Elders,glossary,kotow,to bow,kotow,,,,
unit_046,Respect & Elders,glossary,amammerɛ,tradition / custom,amammereh,,,,
unit_046,Respect & Elders,glossary,suban,character,suban,,,,
unit_046,Respect & Elders,glossary,tie,to obey / listen,tie,,,,
unit_046,Respect & Elders,glossary,nana,elder / grandparent,nana,,,,
unit_046,Respect & Elders,glossary,animuonyam,honour,animuonyam,,,,
unit_047,Proverbs & Wisdom,headword,ɛbɛ,proverbs (mmɛ) — the language of Akan wisdom.,ehbeh,,,,
unit_047,Proverbs & Wisdom,example,"ɛbɛ, mmɛ, anansesɛm.",,"ehbeh, mmeh, anansesehm.",,,,
unit_047,Proverbs & Wisdom,glossary,ɛbɛ,proverb,ehbeh,,,,
unit_047,Proverbs & Wisdom,glossary,mmɛ,proverbs,mmeh,,,,
unit_047,Proverbs & Wisdom,glossary,anansesɛm,folktale (Ananse story),anansesehm,,,,
unit_047,Proverbs & Wisdom,glossary,abakɔsɛm,history,abakawsehm,,,,
unit_047,Proverbs & Wisdom,glossary,nyansa,wisdom,nyansa,,,,
unit_047,Proverbs & Wisdom,glossary,kɔkɔbɔ,advice / warning,kawkawbaw,,,,
unit_047,Proverbs & Wisdom,glossary,kasakoa,idiom / figurative speech,kasakoa,,,,
unit_047,Proverbs & Wisdom,glossary,kyerɛ,to teach / show,chereh,,,,
unit_047,Proverbs & Wisdom,glossary,tete,ancient / of old,tete,,,,
unit_047,Proverbs & Wisdom,glossary,asɛm,a matter / word,asehm,,,,
unit_048,Adinkra Meanings,headword,adinkra,Adinkra — the meanings behind Ghana’s iconic symbols.,adinkra,,,,
unit_048,Adinkra Meanings,example,"Sankofa, Gye Nyame, Dwennimmen.",,"Sankofa, je Nyame, Dwennimmen.",,,,
unit_048,Adinkra Meanings,glossary,Sankofa,go back and fetch it,Sankofa,,,,
unit_048,Adinkra Meanings,glossary,Gye Nyame,except God,je Nyame,,,,
unit_048,Adinkra Meanings,glossary,Dwennimmen,humility and strength,Dwennimmen,,,,
unit_048,Adinkra Meanings,glossary,Akoma,patience and love,Akoma,,,,
unit_048,Adinkra Meanings,glossary,Nkyinkyim,life’s twists and turns,Nchinchim,,,,
unit_048,Adinkra Meanings,glossary,Adinkrahene,leadership,Adinkrahene,,,,
unit_048,Adinkra Meanings,glossary,Fihankra,security and brotherhood,Fihankra,,,,
unit_048,Adinkra Meanings,glossary,Aya,endurance,Aya,,,,
unit_048,Adinkra Meanings,glossary,Nyame Dua,God’s presence,Nyame Dua,,,,
unit_048,Adinkra Meanings,glossary,Akofena,courage,Akofena,,,,
unit_049,Naming & Day Names,headword,kra din,Akan day names — your soul name from the day you were born.,kra din,,,,
unit_049,Naming & Day Names,example,"Kwadwo, Adwoa, Kwaku.",,"Kwajwo, Ajwoa, Kwaku.",,,,
unit_049,Naming & Day Names,glossary,Kwadwo,a boy born on Monday,Kwajwo,,,,
unit_049,Naming & Day Names,glossary,Adwoa,a girl born on Monday,Ajwoa,,,,
unit_049,Naming & Day Names,glossary,Kwaku,a boy born on Wednesday,Kwaku,,,,
unit_049,Naming & Day Names,glossary,Akua,a girl born on Wednesday,Akua,,,,
unit_049,Naming & Day Names,glossary,Yaw,a boy born on Thursday,Yaw,,,,
unit_049,Naming & Day Names,glossary,Yaa,a girl born on Thursday,Yaa,,,,
unit_049,Naming & Day Names,glossary,Kofi,a boy born on Friday,Kofi,,,,
unit_049,Naming & Day Names,glossary,Afua,a girl born on Friday,Afua,,,,
unit_049,Naming & Day Names,glossary,Kwame,a boy born on Saturday,Kwame,,,,
unit_049,Naming & Day Names,glossary,Ama,a girl born on Saturday,Ama,,,,
unit_050,Chieftaincy,headword,ɔhene,"chieftaincy — chiefs, stools, and royal custom.",awhene,,,,
unit_050,Chieftaincy,example,"ɔhene, ɔhemmaa, ahennwa.",,"awhene, awhemmaa, ahennwa.",,,,
unit_050,Chieftaincy,glossary,ɔhene,chief / king,awhene,,,,
unit_050,Chieftaincy,glossary,ɔhemmaa,queen mother,awhemmaa,,,,
unit_050,Chieftaincy,glossary,ahennwa,royal stool,ahennwa,,,,
unit_050,Chieftaincy,glossary,ɔkyeame,linguist / spokesperson,awcheame,,,,
unit_050,Chieftaincy,glossary,ahemfie,palace,ahemfie,,,,
unit_050,Chieftaincy,glossary,adehyeɛ,royalty,adesheeh,,,,
unit_050,Chieftaincy,glossary,abusuapanyin,family head,abusuapanyin,,,,
unit_050,Chieftaincy,glossary,amanhene,paramount chief,amanhene,,,,
unit_050,Chieftaincy,glossary,akofena,state sword,akofena,,,,
unit_050,Chieftaincy,glossary,atumpan,talking drums,atumpan,,,,
unit_051,Spirituality,headword,Onyame,"spirituality — God, ancestors, and the soul.",Onyame,,,,
unit_051,Spirituality,example,"Onyame, Onyankopɔn, ɔbosom.",,"Onyame, Onyankopawn, awbosom.",,,,
unit_051,Spirituality,glossary,Onyame,God,Onyame,,,,
unit_051,Spirituality,glossary,Onyankopɔn,the Supreme God,Onyankopawn,,,,
unit_051,Spirituality,glossary,ɔbosom,deity,awbosom,,,,
unit_051,Spirituality,glossary,nsamanfoɔ,ancestors,nsamanfoaw,,,,
unit_051,Spirituality,glossary,honhom,spirit,honhom,,,,
unit_051,Spirituality,glossary,ɔkɔmfoɔ,traditional priest,awkawmfoaw,,,,
unit_051,Spirituality,glossary,mpaeɛ,prayer,mpaeeh,,,,
unit_051,Spirituality,glossary,afɔreɛ,offering / sacrifice,afawreeh,,,,
unit_051,Spirituality,glossary,kra,soul,kra,,,,
unit_051,Spirituality,glossary,sunsum,spirit / personality,sunsum,,,,
unit_052,Instruments,headword,twene,"instruments — the drums, flutes, and strings of Akan music.",chwene,,,,
unit_052,Instruments,example,"atumpan, fɔntɔmfrɔm, dɔnnɔ.",,"atumpan, fawntawmfrawm, dawnnaw.",,,,
unit_052,Instruments,glossary,atumpan,talking drums,atumpan,,,,
unit_052,Instruments,glossary,fɔntɔmfrɔm,big drum,fawntawmfrawm,,,,
unit_052,Instruments,glossary,dɔnnɔ,hourglass drum,dawnnaw,,,,
unit_052,Instruments,glossary,seperewa,harp-lute,seperewa,,,,
unit_052,Instruments,glossary,atɛntɛbɛn,bamboo flute,atehntehbehn,,,,
unit_052,Instruments,glossary,dawuro,gong,dawuro,,,,
unit_052,Instruments,glossary,nnawuta,twin bells,nnawuta,,,,
unit_052,Instruments,glossary,firikyiwa,castanet,firichiwa,,,,
unit_052,Instruments,glossary,twene,drum,chwene,,,,
unit_052,Instruments,glossary,sankuo,lute / guitar,sankuo,,,,
unit_053,Drumming,headword,twene,drumming — the heartbeat of every celebration.,chwene,,,,
unit_053,Drumming,example,"twene, bɔ twene, atumpan.",,"chwene, baw chwene, atumpan.",,,,
unit_053,Drumming,glossary,twene,drum,chwene,,,,
unit_053,Drumming,glossary,bɔ twene,to drum,baw chwene,,,,
unit_053,Drumming,glossary,atumpan,talking drums,atumpan,,,,
unit_053,Drumming,glossary,ɔkyerɛma,master drummer,awcherehma,,,,
unit_053,Drumming,glossary,nnwom,songs,nnwom,,,,
unit_053,Drumming,glossary,asaw,dance,asaw,,,,
unit_053,Drumming,glossary,agorɔ,performance,agoraw,,,,
unit_053,Drumming,glossary,dawuro,gong,dawuro,,,,
unit_053,Drumming,glossary,dɔnnɔ,hourglass drum,dawnnaw,,,,
unit_053,Drumming,glossary,anigyeɛ,joy,anijeeh,,,,
unit_054,Dance,headword,asaw,"dance — Adowa, Kete, and modern Azonto.",asaw,,,,
unit_054,Dance,example,"asaw, saw, adowa.",,"asaw, saw, adowa.",,,,
unit_054,Dance,glossary,asaw,dance,asaw,,,,
unit_054,Dance,glossary,saw,to dance,saw,,,,
unit_054,Dance,glossary,adowa,Adowa (traditional dance),adowa,,,,
unit_054,Dance,glossary,kete,Kete (royal dance),kete,,,,
unit_054,Dance,glossary,azonto,Azonto (modern dance),azonto,,,,
unit_054,Dance,glossary,agorɔ,performance,agoraw,,,,
unit_054,Dance,glossary,nnwom,music,nnwom,,,,
unit_054,Dance,glossary,huruw,to jump,huruw,,,,
unit_054,Dance,glossary,nan,leg / foot,nan,,,,
unit_054,Dance,glossary,anigyeɛ,fun,anijeeh,,,,
unit_055,Storytelling,headword,anansesɛm,storytelling — the tales of Kwaku Ananse the spider.,anansesehm,,,,
unit_055,Storytelling,example,"anansesɛm, Ananse, asɛm.",,"anansesehm, Ananse, asehm.",,,,
unit_055,Storytelling,glossary,anansesɛm,folktale,anansesehm,,,,
unit_055,Storytelling,glossary,Ananse,Ananse the spider,Ananse,,,,
unit_055,Storytelling,glossary,asɛm,story / matter,asehm,,,,
unit_055,Storytelling,glossary,abakɔsɛm,history,abakawsehm,,,,
unit_055,Storytelling,glossary,nyansa,wisdom,nyansa,,,,
unit_055,Storytelling,glossary,tete,ancient / of old,tete,,,,
unit_055,Storytelling,glossary,kyerɛ,to teach,chereh,,,,
unit_055,Storytelling,glossary,tie,to listen,tie,,,,
unit_055,Storytelling,glossary,agoo,call to start a tale,agoo,,,,
unit_055,Storytelling,glossary,amee,the reply,amee,,,,
unit_056,Poetry,headword,anwonsɛm,poetry — praise poems (apae) and the beauty of words.,anwonsehm,,,,
unit_056,Poetry,example,"anwonsɛm, apae, nnwom.",,"anwonsehm, apae, nnwom.",,,,
unit_056,Poetry,glossary,anwonsɛm,poetry,anwonsehm,,,,
unit_056,Poetry,glossary,apae,praise poetry,apae,,,,
unit_056,Poetry,glossary,nnwom,songs,nnwom,,,,
unit_056,Poetry,glossary,kasakoa,figurative speech,kasakoa,,,,
unit_056,Poetry,glossary,twerɛ,to write,chwereh,,,,
unit_056,Poetry,glossary,kenkan,to read,kenkan,,,,
unit_056,Poetry,glossary,nsɛm,words,nsehm,,,,
unit_056,Poetry,glossary,nyansa,wisdom,nyansa,,,,
unit_056,Poetry,glossary,ɛbɛ,proverb,ehbeh,,,,
unit_056,Poetry,glossary,kasa,speech,kasa,,,,
unit_057,Theatre,headword,agorɔ,theatre — from ‘concert party’ to the modern stage.,agoraw,,,,
unit_057,Theatre,example,"agorɔ, concert, agorɔdifoɔ.",,"agoraw, concert, agorawdifoaw.",,,,
unit_057,Theatre,glossary,agorɔ,drama / play,agoraw,,,,
unit_057,Theatre,glossary,concert,concert party,concert,,,,
unit_057,Theatre,glossary,agorɔdifoɔ,actors,agorawdifoaw,,,,
unit_057,Theatre,glossary,ɔhwɛfoɔ,audience,awhwehfoaw,,,,
unit_057,Theatre,glossary,nnwom,songs,nnwom,,,,
unit_057,Theatre,glossary,asaw,dance,asaw,,,,
unit_057,Theatre,glossary,kasa,dialogue,kasa,,,,
unit_057,Theatre,glossary,anigyeɛ,entertainment,anijeeh,,,,
unit_057,Theatre,glossary,sini,show / film,sini,,,,
unit_057,Theatre,glossary,baabi,venue,baabi,,,,
unit_058,Television,headword,tiivii,television — watching shows and the news.,tiivii,,,,
unit_058,Television,example,"tiivii, hwɛ, sini.",,"tiivii, hweh, sini.",,,,
unit_058,Television,glossary,tiivii,television,tiivii,,,,
unit_058,Television,glossary,hwɛ,to watch,hweh,,,,
unit_058,Television,glossary,sini,film / show,sini,,,,
unit_058,Television,glossary,amanneɛbɔ,news,amanneehbaw,,,,
unit_058,Television,glossary,agorɔ,programme,agoraw,,,,
unit_058,Television,glossary,nnwom,music,nnwom,,,,
unit_058,Television,glossary,ɔhwɛfoɔ,viewers,awhwehfoaw,,,,
unit_058,Television,glossary,anigyeɛ,entertainment,anijeeh,,,,
unit_058,Television,glossary,berɛ,time,bereh,,,,
unit_058,Television,glossary,nsɛm,topics,nsehm,,,,
unit_059,Radio,headword,radio,radio — listening in for news and music.,radio,,,,
unit_059,Radio,example,"radio, tie, amanneɛbɔ.",,"radio, tie, amanneehbaw.",,,,
unit_059,Radio,glossary,radio,radio,radio,,,,
unit_059,Radio,glossary,tie,to listen,tie,,,,
unit_059,Radio,glossary,amanneɛbɔ,news,amanneehbaw,,,,
unit_059,Radio,glossary,nnwom,songs,nnwom,,,,
unit_059,Radio,glossary,kasa,to speak,kasa,,,,
unit_059,Radio,glossary,ɔkasafoɔ,presenter,awkasafoaw,,,,
unit_059,Radio,glossary,ɔtiefoɔ,listeners,awtiefoaw,,,,
unit_059,Radio,glossary,berɛ,time,bereh,,,,
unit_059,Radio,glossary,nsɛm,topics,nsehm,,,,
unit_059,Radio,glossary,anigyeɛ,entertainment,anijeeh,,,,
