Day,Post date,Image file,Word,Pronunciation,Meaning,Caption,Hashtags
11,Sep 11,sep11_anwummerɛ.png,Anwummerɛ,/ an-woom-MEH-reh /,Evening,"Anwummerɛ / an-woom-MEH-reh / — Evening.

As the sun sets, greet with 'Maadwo'. The anwummerɛ calm.

📲 Learn Twi the joyful way — Sankofa Twi. Link in bio.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
12,Sep 12,sep12_berɛ.png,Berɛ,/ BEH-reh /,Time,"Berɛ / BEH-reh / — Time.

'Berɛ bɛn?' — what time? Every berɛ spent learning counts.

🇬🇭 Reconnect with home, one word a day. Download Sankofa Twi.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
13,Sep 13,sep13_obuo.png,Obuo,/ oh-BOO-oh /,Respect,"Obuo / oh-BOO-oh / — Respect.

The heartbeat of Akan life. Give obuo, and obuo returns.

Save this and practice today. Which word next? 👇",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
14,Sep 14,sep14_suban.png,Suban,/ soo-BAN /,Character,"Suban / soo-BAN / — Character.

Who you are when no one is watching. Guard your suban.

Tag someone learning Twi with you. 🌿",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
15,Sep 15,sep15_animuonyam.png,Animuonyam,/ ah-nee-moo-ON-yam /,Honour / glory,"Animuonyam / ah-nee-moo-ON-yam / — Honour / glory.

Dignity earned, not given. Live with animuonyam.

Follow @sankofatwi for a new word every day.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
16,Sep 16,sep16_mmɛ.png,Mmɛ,/ m-MEH /,Proverbs,"Mmɛ / m-MEH / — Proverbs.

Akan wisdom in a single line. The elders speak in mmɛ.

📲 Learn Twi the joyful way — Sankofa Twi. Link in bio.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage #Proverbs #Wisdom
17,Sep 17,sep17_abakɔsɛm.png,Abakɔsɛm,/ ah-bah-KAW-sem /,History,"Abakɔsɛm / ah-bah-KAW-sem / — History.

Know where you come from. Abakɔsɛm carries a people forward.

🇬🇭 Reconnect with home, one word a day. Download Sankofa Twi.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage #History
18,Sep 18,sep18_dwennimmen.png,Dwennimmen,/ jwen-nee-MEN /,Humility & strength,"Dwennimmen / jwen-nee-MEN / — Humility & strength.

The ram's horns — strong, yet humble. A classic Adinkra.

Save this and practice today. Which word next? 👇",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage #AdinkraSymbols
19,Sep 19,sep19_nkyinkyim.png,Nkyinkyim,/ n-chin-CHIM /,Life's twists,"Nkyinkyim / n-chin-CHIM / — Life's twists.

The Adinkra of the winding path. Adapt, endure, keep going.

Tag someone learning Twi with you. 🌿",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage #AdinkraSymbols
20,Sep 20,sep20_aya.png,Aya,/ AH-yah /,Endurance,"Aya / AH-yah / — Endurance.

The fern — 'I fear no one'. A symbol of quiet defiance.

Follow @sankofatwi for a new word every day.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage #AdinkraSymbols
21,Sep 21,sep21_nyame_dua.png,Nyame Dua,/ N-YAH-meh DOO-ah /,God's altar,"Nyame Dua / N-YAH-meh DOO-ah / — God's altar.

The Adinkra of God's presence and protection over the home.

📲 Learn Twi the joyful way — Sankofa Twi. Link in bio.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage #AdinkraSymbols #Faith
22,Sep 22,sep22_honhom.png,Honhom,/ HON-hom /,Spirit,"Honhom / HON-hom / — Spirit.

The breath of life. Body, soul (kra), and honhom.

🇬🇭 Reconnect with home, one word a day. Download Sankofa Twi.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage #Spirituality
23,Sep 23,sep23_mpaeɛ.png,Mpaeɛ,/ m-PAH-eh /,Prayer,"Mpaeɛ / m-PAH-eh / — Prayer.

Words lifted to the Most High. Begin the day with mpaeɛ.

Save this and practice today. Which word next? 👇",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage #Faith #Spirituality
24,Sep 24,sep24_ɔhemmaa.png,Ɔhemmaa,/ aw-heh-MAH /,Queen mother,"Ɔhemmaa / aw-heh-MAH / — Queen mother.

The power behind the stool — the ɔhemmaa chooses the chief.

Tag someone learning Twi with you. 🌿",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage #Chieftaincy
25,Sep 25,sep25_ɔkyeame.png,Ɔkyeame,/ aw-cheh-AH-meh /,Linguist / spokesperson,"Ɔkyeame / aw-cheh-AH-meh / — Linguist / spokesperson.

'ky' = 'ch'. A chief never speaks directly — the ɔkyeame does.

Follow @sankofatwi for a new word every day.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage #Chieftaincy
26,Sep 26,sep26_atumpan.png,Atumpan,/ ah-TOOM-pan /,Talking drums,"Atumpan / ah-TOOM-pan / — Talking drums.

Drums that speak Twi. The atumpan carry messages for miles.

📲 Learn Twi the joyful way — Sankofa Twi. Link in bio.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage #GhanaMusic #Drumming
27,Sep 27,sep27_mframa.png,Mframa,/ m-FRAH-mah /,Wind,"Mframa / m-FRAH-mah / — Wind.

You feel it, you don't see it. The dry harmattan mframa.

🇬🇭 Reconnect with home, one word a day. Download Sankofa Twi.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
28,Sep 28,sep28_awɔ.png,Awɔ,/ ah-WAW /,Cold,"Awɔ / ah-WAW / — Cold.

Harmattan season. 'Awɔ de me' — I'm feeling cold.

Save this and practice today. Which word next? 👇",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
29,Sep 29,sep29_benkum.png,Benkum,/ BEN-koom /,Left,"Benkum / BEN-koom / — Left.

Directions 101. Benkum (left), nifa (right) — never mix them up.

Tag someone learning Twi with you. 🌿",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
30,Sep 30,sep30_nifa.png,Nifa,/ NEE-fah /,Right,"Nifa / NEE-fah / — Right.

The right hand: used for greeting and giving. Never the left.

Follow @sankofatwi for a new word every day.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
31,Sep 31,sep31_kyerɛ.png,Kyerɛ,/ cheh-REH /,To teach,"Kyerɛ / cheh-REH / — To teach.

'ky' = 'ch'. Learn, then kyerɛ — teach. Pass the language on.

📲 Learn Twi the joyful way — Sankofa Twi. Link in bio.",#SankofaTwi #LearnTwi #Twi #TwiWordOfTheDay #Akan #Ghana #Ghanaian #GhanaianDiaspora #Sankofa #Adinkra #LearnGhanaian #AfricanLanguages #WordOfTheDay #Asante #TwiLanguage
